Disease Name,Category,Plant Part Affected,Symptoms Description,Severity Level,Season/Trigger Conditions,Natural Resolution,Chemical Resolution,Preventive Measures,Detection Method,Days to Recovery,Impact on Yield,Stage of Plant Growth Affected,Region/Geography,Cultural control 
LeafhopperJassids,Insect Pest,"Leaves  stems, and flowers/buds","Direct Feeding: Yellowing, curling, and distortion of leaves, often starting at the tips or margins. Severe feeding causes ""hopperburn,"" where leaf tips turn brown and crisp. 
Virus Transmission: The most critical damage is the spread of viral diseases (e.g., Tomato Yellow Leaf Curl Virus), leading to severe stunting and discoloration.",High,"Warm, dry weather","1. Monitor with yellow sticky traps to capture adults and track population. 2. Spray with a strong jet of water to dislodge pests. 
3. Apply Neem oil or insecticidal soap (repeat every 5–7 days).
4. Encourage natural enemies (e.g., parasitic wasps, spiders). 
5. Use row covers to exclude early migrants.","Use Acetamiprid or Imidacloprid (systemic, highly effective against sucking pests). Lambda-cyhalothrin (contact pyrethroid) is also used. CRITICAL: Rotate chemical classes to prevent resistance.","Use reflective mulches (silver/white) to repel migrating adults. Plant resistant varieties (e.g., hairy-leaved cotton or potato). Destroy crop residues after harvest to reduce overwintering sites. Control susceptible weeds.","Visual observation of small (3-5 mm), wedge-shaped insects that walk sideways or hop/fly quickly when disturbed. Check for leaf curling, yellowing, and sticky traps.",1 to 7,"Causes severe stunting and reduced fruit/vegetable quality due to feeding and is the primary vector for numerous viral diseases, leading to near-total crop failure in severe cases.",All stages," Found in virtually all agricultural regions, especially problematic in tropical, subtropical, and warm temperate zones with prolonged dry seasons.","Physical Exclusion (CRITICAL): Cover susceptible crops with lightweight floating row covers immediately after planting to prevent winged adults from migrating onto plants.

Repellent Mulches: Use reflective plastic or aluminum foil mulches on the ground to visually repel winged leafhoppers and reduce colonization.

Water Blast: Use a strong stream of water from a hose to physically dislodge leafhoppers from plants.

Weed Control: Keep the surrounding area clear of weeds that can act as alternate hosts or shelters for the pests.

Encourage Predators: Attract natural enemies like spiders, lacewings, and parasitic wasps by minimizing broad-spectrum pesticide use.

Host Resistance: Plant resistant cultivars (e.g., those with hairy leaves, which discourage feeding and egg-laying)."
MagnesiumDeficiency,Physiological Disorder,"Older, Lower Leaves","Interveinal Chlorosis: Yellowing (chlorosis) that occurs between the leaf veins, while the veins themselves remain green. This starts on the older, lower leaves. As the deficiency progresses, the leaves may develop red/purple/brown spots, turn brittle, curl upward, and drop prematurely.",Moderate to Severe,acidic and high levels of competing nutrients,"1. Apply Dolomitic Lime to raise soil pH and provide Calcium and Magnesium. 
2. Apply Epsom Salts (Magnesium Sulfate) as a quick-acting soil drench or foliar spray. 
3. Reduce use of high-Potassium fertilizers that compete with Mg uptake. 4. Use organic compost/manure to improve soil structure and nutrient retention.","Epsom Salts (Magnesium Sulfate, MgSO4): Applied as a foliar spray (for quick relief) or soil application (for short-term correction). Dolomitic Limestone (long-term soil amendment, used to raise soil pH).","Test soil regularly to maintain adequate pH (6.0-6.5). Apply slow-release Dolomitic Limestone every 3-5 years in acidic soils. Use a balanced fertilizer that accounts for Mg needs, especially in sandy soils.","Visual observation of interveinal chlorosis specifically on the older/lower leaves. Soil and tissue testing can confirm low Magnesium levels and high antagonistic nutrient levels (K, Ca).",1 to 7,"Magnesium is central to chlorophyll production; deficiency reduces photosynthesis, leading to stunted growth, poor fruit quality, and reduced overall yield.",flowering and fruiting,"Especially common in areas with acidic soils, sandy soils","Soil Amendment: Apply Dolomitic Limestone to acidic soils to raise the pH and supply long-term, slow-release Magnesium and Calcium.

Fertilization Balance: Review and reduce the application of high-Potassium (K) or high-Calcium (Ca) fertilizers, as these nutrients compete with Magnesium for uptake by the plant.

Organic Matter: Incorporate large amounts of organic compost or aged manure to improve the soil's structure and its ability to hold onto Mg ions.

Quick Fix: Use Epsom Salts  as a quick-acting, readily available source of Magnesium via a foliar spray or drench for immediate correction.

Water Management: Avoid excessive overhead irrigation in sandy soils, which can lead to rapid leaching of mobile nutrients like Magnesium."
Mosaic Virus Disease,Viral Disease,All above-ground parts,"Leaves: Characteristic irregular mottling of light green/yellow and dark green areas (the ""mosaic"" pattern). Leaves may be stunted, crinkled, distorted, or curled; sometimes causes ""shoe-string"" leaves.
Plant: Overall stunting and reduced vigor.
Fruit: Spots, rings, or abnormal color and shape.",High,All Seasons,"1. Immediately remove and destroy (bag and discard) all infected plants. 2. Control insect vectors (e.g., aphids) through biological or cultural methods. 
3. Wash hands and sanitize tools (use bleach or 70%alcohol) after handling any plant. 
4. Use certified, virus-free seed/plants. 
5. Avoid planting susceptible crops near known host weeds.",No chemical cures exist for viral diseases in plants. Control focuses entirely on managing insect vectors (using Imidacloprid or Acetamiprid for aphids) and strict sanitation.,"Plant resistant/tolerant varieties. Use certified virus-free seed. Sanitize tools and hands frequently. Control insect vectors (aphids, thrips). Remove perennial weeds that harbor the virus.","Visual observation of the distinct mosaic/mottled pattern on new growth, coupled with stunting and distortion. Confirmed via ELISA tests or PCR (molecular methods) in a lab.",No Recovery,"Causes severe stunting, drastically reduces fruit size, quality, and quantity. Often leads to total crop loss if infection is widespread early.",All stages,"Found in virtually all agricultural regions, especially problematic in intensive production areas where handling and insect vector populations are high.","Strict Sanitation (CRITICAL): Wash hands thoroughly with soap and water and sanitize tools (using a 10%)bleach solution or 70%alcohol) after working with any plant, especially before touching healthy ones.

Removal of Infected Plants: Promptly rogue (remove) and destroy (bag and discard) all symptomatic plants to eliminate the source of the virus.

Vector Control: Manage insect pests (like aphids and leafhoppers) that transmit the virus using cultural methods (e.g., reflective mulch, row covers).

Source Control: Use certified virus-free seeds and transplants. Never save seed from mosaic-infected plants.

Weed Management: Control perennial weeds near the planting area, as they can act as reservoirs for the virus and insect vectors.

Resistant Varieties: Choose and plant known virus-resistant or tolerant cultivars whenever available."
Phomopsis Bright,Fungal Disease,"Stems , Leaves and Fruit","Stems: Dark brown/black, elongated lesions (cankers) that often girdle and kill seedlings or branches.
Leaves: Irregular brown spots with grey or tan centers. 
Fruit: Light brown, soft, sunken, watery spots that quickly turn black and become dotted with tiny black fruiting bodies (pycnidia).",High,"Warm, wet, and humid weather","1. Use certified disease-free seed. 
2. Remove and destroy all infected plant material immediately. 
3. Avoid overhead watering (use drip irrigation) to keep foliage dry. 
4. Stake plants to improve air circulation and prevent contact with soil. 
5. Solarize soil or rotate crops (4 years) to reduce soil inoculum.","Mancozeb 75% WP or Chlorothalonil (broad-spectrum protectants). For systemic control, Azoxystrobin or a combination product like Carbendazim + Mancozeb. Apply on a 7–10 day schedule starting before fruit set.",Plant resistant or tolerant varieties. Practice long crop rotations (4 years). Use certified seed. Sanitize tools after pruning. Ensure proper plant spacing for good airflow.,"Visual observation of the characteristic black, sunken, rotting fruit spots covered in small black dots (pycnidia). Check for dark, girdling cankers on the main stem near the soil line.",1 to 7,"Stem blight can girdle and kill the plant, drastically reducing overall harvest.",All stages,"Especially common in warm, humid, and tropical climates (e.g., Southeast Asia, India, Southern US).","Crop Rotation (LONG): Implement a long rotation (4 years or more) with non-host crops to significantly reduce the pathogen's survival in the soil.

Source Control (Seed): Always use certified, disease-free seed or treat seed with a recommended fungicide, as the fungus is often seed-borne.

Water Management: Use drip or furrow irrigation to avoid wetting the foliage and fruit, limiting spore spread via splash.

Canopy Management: Stake and prune plants to improve air circulation and prevent lower leaves and fruit from touching the contaminated soil surface.

Sanitation: Remove and completely destroy all crop residue (stems, leaves, dropped fruit) from the field immediately after harvest."
Phytophthora Blight,Oomycete,"Roots, stems , leaves , and fruit .","Stems/Crown: Dark, water-soaked, spreading lesions that girdle the stem, often leading to sudden plant collapse/death. Leaves: Dark, spreading, water-soaked spots. 
Fruit: Hard, leathery, dark brown spots that cause fruit collapse. The disease is characterized by rapid spread and plant death.",Extremely High,Warm temperatures(24°Cto30°C) and frequent rainfall/high humidity.,"1. Ensure excellent soil drainage (e.g., raised beds). 
2. Avoid overwatering and saturated soil. 
3. Remove and destroy all infected plants and fruit immediately. 
4. Practice long crop rotation (4 years or more). 
5. Plant resistant varieties (critical control).","Highly specialized fungicides are required, such as Mefenoxam (or Metalaxyl), Propamocarb, or Phosphorous Acid salts (e.g., Phos-acid). Protectants like Chlorothalonil or Mancozeb are used on foliage only for some species. Rotation is essential.",Improve soil drainage (use raised beds). Avoid waterlogging. Plant resistant varieties. Rotate crops (4+ years). Use drip irrigation and avoid splashing soil. Sanitize tools and shoes after working in wet areas,"Visual observation of sudden plant collapse/stem girdling near the soil line and dark, water-soaked lesions on stems, leaves, or fruit. Confirmation via a lab test for Phytophthora zoospores or mycelium.",No Recovery,"Total Crop Loss is common. The disease is destructive and often causes the entire crop to fail due to rapid, systemic infection and fruit rot.",All stages,"Extremely problematic in areas with poor soil drainage or frequent, heavy rainfall and high humidity during the warm growing season.","Drainage Management (CRITICAL): Plant crops in raised beds or on berms to ensure excellent, rapid water drainage and prevent soil from becoming waterlogged.

Watering Technique: Use drip irrigation or furrow irrigation. Avoid overhead watering and overwatering to eliminate the free water necessary for zoospores to move.

Rotation (LONG): Implement a long crop rotation (4 years or more) with non-host crops to starve the pathogen's survival structures (oospores) in the soil.

Sanitation: Remove and destroy all infected plants and fruit immediately. Do not compost infected material.

Resistant Varieties: Select and plant resistant or tolerant cultivars as the primary method of control in areas with a history of the disease.

Hygiene: Avoid working in fields when they are wet to prevent the spread of the pathogen on tools, equipment, or shoes."
Powdery Mildew,Fungal Disease,Leaves,"Appearance of white or grayish-white, powdery spots or patches that look like dustings of talcum powder. Usually starts on the older leaves and spreads. Leaves turn yellow, curl, distort, and may drop prematurely. Infected buds and flowers may fail to open.",Moderate to Severe.,Warm days and cool nights with moderate to high humidity,"1. Remove and destroy all heavily infected leaves/stems immediately. 
2. Increase air circulation (prune/space plants) to reduce humidity within the canopy. 
3. Apply a spray mixture of baking soda and liquid soap (or horticultural oils) weekly. 
4. Avoid excessive nitrogen fertilizer, which promotes soft growth. 
5. Plant resistant varieties.","Sulfur dust or wettable powder (preventative, contact). Potassium Bicarbonate (eradicant). Horticultural Oil (eradicant/smothering). Systemic options include fungicides in the DMI (Triazole) class, like Propiconazole or Myclobutanil.","Plant resistant cultivars. Ensure good air circulation and plant spacing. Water early in the day, but avoid overhead watering late in the day (to prevent high night humidity). Remove infected plant debris in the fall.","Visual observation of the distinct white or grayish, powdery patches on leaves and stems. Often found on the upper leaf surface first, unlike Downy Mildew.",7  to 10,"Reduced photosynthesis leads to poor fruit set, reduced fruit size, and premature senescence (aging/death) of leaves, lowering marketable yield and quality.",All Stages,Extremely common in areas with high day-to-night temperature fluctuations and high relative humidity within the plant canopy.,"Air Circulation (CRITICAL): Increase plant spacing and perform strategic pruning to allow rapid air movement and reduce humidity within the plant canopy.

Watering Technique: Water plants primarily at the base using drip irrigation. If overhead watering is necessary, do it early in the morning to reduce night humidity.

Sanitation: Remove and destroy all infected leaves, stems, and plant debris immediately and thoroughly after the season ends to eliminate overwintering spores.

Plant Resistance: Choose and plant resistant or tolerant cultivars whenever available for your specific crop.

Fertilization: Avoid excessive nitrogen fertilization, which produces soft, highly susceptible new growth."
Shoot and Fruit Borer,Insect Pest,Tender Shoots/Stems and Fruit,"Shoots: Larvae bore into tender shoots, causing the shoot tips to droop, wither, and dry up (""dead heart"" symptom). 
Fruit: Larvae bore into the developing fruit, feeding internally and leaving behind frass (excrement). Entry holes are often visible, making the fruit unmarketable.",High to Extremely High,"Warm, humid conditions","1. Install pheromone traps to monitor and trap male moths. 
2. Clip and destroy all infested shoots (dead hearts) and fruit immediately. 3. Release parasitic wasps (e.g., Trathala flavo-orbitalis).
4. Apply sprays of Neem Seed Kernel Extract (NSKE) or Bacillus thuringiensis (Bt) biopesticide. 
5. Plant resistant/less preferred varieties.","Use Chlorantraniliprole (effective against Lepidopteran larvae), Lambda-cyhalothrin (pyrethroid), or Emamectin benzoate. CRITICAL: Use systemic or highly effective contact insecticides before larvae enter the shoot/fruit.",Use Pheromone traps for mass trapping. Remove and destroy infested plant parts. Rotate crops (avoid continuous planting of host crops). Use netting (physical barrier) to exclude moths.,"Visual observation of withered, drooping shoot tips (""dead hearts"") and pin-prick size holes with frass on fruit surfaces. Cut open shoots/fruit to find the pinkish-brown larva inside.",1 to 7,"Direct feeding damage makes most fruit unmarketable, leading to significant economic loss and reduced overall plant productivity.",All stages,Widespread in Asia and Africa. Highly problematic in tropical and subtropical regions where host crops (especially eggplant) are intensively grown year-round.,"Sanitation & Pruning (CRITICAL): Regularly monitor plants. Clip and destroy all wilting shoot tips (dead hearts) and bore-infested fruit immediately to kill the larva inside and break the pest cycle.

Pheromone Traps: Install pheromone traps (5-10 traps per acre) to monitor the moth population and for mass trapping of male moths to disrupt mating.

Residue Management: Remove and destroy all crop residue after harvest, as the pest can pupate and survive in old stems and debris.

Physical Barrier: Use netting or mesh covers over the crop during periods of high moth activity to prevent egg-laying.

Biological Sprays: Apply the biopesticide Bacillus thuringiensis (Bt) (effective against caterpillars) or Neem Seed Kernel Extract (NSKE) targeted at young larvae before they bore in.

Water Management: Avoid water stress on plants to promote vigorous growth, helping them better tolerate initial shoot damage."
Tobacco Mosaic Virus,Viral Disease,All above-ground parts,"Leaves: Distinctive, irregular mosaic or mottling pattern of light green/yellow and dark green areas. New growth is often stunted, distorted, crinkled, or puckered; sometimes causes leaf cupping. 
Fruit: Ringspots, necrotic spots, or abnormal ripening. 
Plant: Overall severe stunting and reduced vigor.",High,All seasons,"1. Immediately remove and destroy (bag and discard) all infected plants. 2. Wash hands thoroughly with soap after handling any plants. 
3. Sanitize tools (use bleach or milk solution) after each use. 
4. Avoid using tobacco products (cigarettes, cigars) while working with susceptible plants. 
5. Use certified, virus-free seed/plants.","No chemical cures exist for viral diseases in plants. Control focuses entirely on strict sanitation and preventive measures. (TMV is not insect-transmitted, so vector control chemicals are irrelevant.)",Plant resistant/tolerant varieties. Use certified virus-free seed. Sanitize tools and hands frequently. Avoid using tobacco products near plants. Destroy crop residues promptly.,"Visual observation of the distinct mosaic/mottled pattern and distortion on young, developing leaves. Confirmed via ELISA tests or PCR in a lab.",No Recovery,"Causes severe stunting, drastically reduces fruit/leaf size and quality, and can lead to total crop loss if infection occurs early.",All Stages,"ound everywhere its host crops (tobacco, tomato, pepper) are grown, highly prevalent due to its easy mechanical transmission and stability.","Strict Sanitation (CRITICAL): Wash hands thoroughly and sanitize tools (using a 10% bleach solution, 70%alcohol, or a 20% milk solution) before handling healthy plants and after touching any potentially infected plant

.Infected Plant Removal: Promptly rogue (remove) and destroy all symptomatic plants (including roots) to eliminate the source of the virus

.Source Control (Seed/Plants): Use certified virus-free seeds and transplants. Never save seed from mosaic-infected plants.

Avoid Tobacco Products: Individuals who use tobacco products (cigarettes, snuff, etc.) should thoroughly wash their hands with soap and water before handling plants, as TMV can be present in these products.

Resistant Varieties: Choose and plant known virus-resistant or tolerant cultivars (often denoted with 'T' or 'TMV' on the label).

Crop Rotation: While not essential (TMV survives for decades in dried plant material), destroying all crop residues and rotating crops helps reduce potential soil contamination."
Tobacco Caterpillar,Insect Pests,"Leaves , Seedlings","Leaves: Young larvae feed gregariously, scraping the chlorophyll, leaving a ""windowpane"" effect. Older, large larvae feed voraciously, creating large, irregular holes in leaves, often consuming the entire leaf blade. 
Seedlings: Large larvae act as cutworms, severing young plants at the base.",Extremely High,"Warm, humid conditions","1. Install pheromone traps (5-10/acre) to monitor and trap male moths. 
2. Collect and destroy egg masses and young, gregariously feeding larvae manually. 
3. Apply the biopesticide Bacillus thuringiensis (Bt) to young larvae. 
4. Handpick large larvae (often found hidden under soil/debris). 
5. Encourage parasitic wasps (e.g., Bracon spp.).",Use Chlorantraniliprole or Flubendiamide (highly effective against caterpillars). Lambda-cyhalothrin or Chlorpyrifos (for soil application against cutworms). CRITICAL: Apply when larvae are small (Bt is only effective then).,Use pheromonal traps for mass trapping. Deep summer plowing to expose pupae. Handpick and destroy egg masses. Rotate crops (avoid continuous planting of host crops). Plant early to escape peak populations.,"Visual observation of large, irregular holes in leaves and skeletonized young leaves. Check the underside of leaves for golden-brown, clustered egg masses. Look for large, dark, striped larvae hiding in the soil/debris during the day.",7  to 10,"Total Crop Loss is possible, especially in the seedling stage due to cutworm damage or rapid defoliation of mature plants, significantly reducing photosynthetic capability and yield.","All stages, but most damaging to young seedlings","Widespread in Asia, Africa, and Australia. Highly problematic in tropical and subtropical regions where host crops (tobacco, cotton, legumes, vegetables) are intensively grown","Pheromone Trapping: Install pheromone traps (5-10 per acre) immediately after planting to monitor the moth population and for mass trapping of male moths to disrupt mating.

Manual Collection: Regularly monitor the underside of leaves for clustered, golden-brown egg masses and manually crush or remove them. Handpick and destroy large larvae, often found hiding during the day.

Tillage/Plowing: Perform deep summer plowing or tilling to expose and kill pupae or larvae overwintering in the soil.

Intercropping/Rotation: Intercrop with non-host plants or implement a crop rotation plan (avoid continuous host crop planting) to disrupt the life cycle.

Water Barrier: Create a small water channel or trench around the field edges to trap migrating young larvae."
Verticillium Wilt,Fungal Disease,"Vascular System (xylem), stems, leaves.","Lower leaves develop interveinal yellowing, then wilt and die, often affecting only one side of the plant or branch first (unilateral wilting). Cutting the lower stem reveals dark brown discoloration in the vascular tissue (diagnostic).",High,Cool soil temperatures in spring (18°Cto25°C),"1. Remove and destroy infected plants immediately. 
2. Practice long crop rotations (4-6 years) with non-host plants. 
3. Solarize the soil during hot periods. 
4. Use resistant varieties (most effective). 
5. Avoid deep cultivation to prevent spreading the fungus.",Fungicides are generally ineffective once infection is established (fungus is internal). Control relies heavily on cultural practices and resistant rootstocks/varieties.,Plant resistant cultivars or graft onto resistant rootstock. Avoid planting in infested soil (4-6 year rotation). Control susceptible weeds. Maintain optimal soil moisture (avoiding overwatering).,Visual observation of one-sided wilting and yellowing of lower leaves. Confirmation: Cut the main stem near the soil line and look for the dark brown ring (discolored vascular tissue).,No Recovery,"Wilting and stunting prevent normal flowering and fruit set, leading to severe reduction in fruit size and total yield.",young plant stage,"Found in most temperate and Mediterranean regions, especially in fertile, slightly cool soils.","Crop Rotation (CRITICAL): Implement a long rotation (4 to 6 years) with non-host crops (e.g., corn, cereals, broccoli) to starve the fungus in the soil.

Resistant Varieties: Plant resistant or tolerant varieties or use grafted plants with resistant rootstocks, which is the most reliable control method.

Soil Solarization: Cover moist soil with clear plastic during the hottest months to raise the temperature high enough to kill the fungus (microsclerotia) in the top layer of soil.

Sanitation: Remove and immediately destroy (do not compost) any infected plants, roots and all, to prevent further buildup of the fungus in the soil.

Weed Control: Control susceptible weeds (e.g., nightshade, lamb's quarters) that can act as hosts for the fungus.

Tillage Minimization: Avoid deep or excessive tillage in known infested areas, as this can spread the fungal microsclerotia."
Aster Yellows,Phytoplasma Disease,"All new growth; leaves, stems, flowers, and fruit.","General yellowing (chlorosis) of young, growing tissue. Leaves may turn pale yellow, sometimes with reddish streaks, and become stiff/erect. Flowers often turn green, become sterile, or develop into leafy structures (phyllody). Stunting and bushy growth (""witches'-broom"") are common.",High,"Warm , dry weather","1. Immediately remove and destroy all infected plants and their roots. 
2. Control the Leafhopper vector using cultural methods (row covers, reflective mulch). 
3. Remove susceptible perennial weeds (e.g., dandelions, plantain) that harbor the phytoplasma and the leafhopper vector. 4. Plant tolerant varieties where available.","Boron-based preservatives (e.g., Boron rods or gels) are inserted or painted onto the remaining sound timber to prevent re-infection. Copper or Zinc naphthenate solutions can also be used.",Use physical exclusion (row covers) to block leafhoppers. Plant resistant varieties. Control leafhopper populations. Remove perennial weeds that harbor the pathogen.,"Visual observation of general yellowing (chlorosis) of young growth, stunting, and characteristic flower greening (phyllody). Confirmed via specialized lab testing (PCR).",No Recovery,"Total Crop Loss is possible. The disease leads to severe stunting and sterility, making flowers and fruits unusable and unmarketable.","All stages, but symptoms are most obvious on newly developing shoots and flowers.",Prevalent in temperate and subtropical regions where the leafhopper vector is common and active.,"Vector Exclusion (CRITICAL): Cover susceptible crops with lightweight floating row covers immediately after planting to prevent leafhoppers from feeding and transmitting the phytoplasma.

Infected Plant Removal: Promptly rogue (remove) and destroy all symptomatic plants (including roots) to eliminate sources of the phytoplasma.

Weed Control: Control perennial weeds (especially those known to host leafhoppers like dandelions and plantains) both in and around the planting area.

Repellent Mulches: Use reflective plastic or aluminum foil mulches on the ground to visually repel migrating leafhoppers.

Resistant Varieties: Plant tolerant or resistant cultivars of highly susceptible crops (e.g., carrots, lettuce) whenever available."
